test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.418373299995437,None,return,0.500383899998269,6.418373299995437,None,,,,,,,,,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
0,0,0,0,,,,,,,6.935016899995389,None,6.951704999999492,None,space,0.6338703999936115,6.951704999999492,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
1,0,1,0,,,,,,,7.602812500001164,None,7.751912799998536,None,space,0.9840563000034308,7.751912799998536,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
2,0,2,0,,,,,,,8.752617099991767,None,8.918248599991784,None,space,0.718455800000811,8.918248599991784,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
3,0,3,0,,,,,,,9.652934199999436,None,9.951028499999666,None,space,0.6838871000072686,9.951028499999666,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
4,0,4,0,,,,,,,10.651225900001009,None,10.751035799999954,None,space,0.5521057000005385,10.751035799999954,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
5,0,5,0,,,,,,,11.318979999996372,None,11.401754899998195,None,space,0.46807190000254195,11.401754899998195,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
6,0,6,0,,,,,,,11.885513399989577,None,11.96840009999869,None,space,0.4002092000009725,11.96840009999869,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
7,0,7,0,,,,,,,12.385449599998537,None,12.701464099998702,None,space,0.4509044000005815,12.701464099998702,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
8,0,8,0,,,,,,,13.16923109999334,None,13.485235799991642,None,space,0.3671486000093864,13.485235799991642,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
9,0,9,0,,,,,,,13.868466799991438,None,14.11779459999525,None,space,0.33430390000285115,14.11779459999525,None,1,001,2019_Aug_01_1316,MIT_Exp,3.1.2,60.02155974247458,
