test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,6.757105100012268,None,return,0.5585711000021547,6.757105100012268,None,,,,,,,,,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
0,0,0,0,,,,,,,7.331314300012309,None,8.332591900005355,None,space,0.3014134999975795,8.332591900005355,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
1,0,1,0,,,,,,,8.649394100008067,None,10.648105100000976,None,space,0.28437470000062604,10.648105100000976,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
2,0,2,0,,,,,,,10.948906000005081,None,13.947857300008764,None,space,0.26824730000225827,13.947857300008764,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
3,0,3,0,,,,,,,14.231613399999333,None,16.23107500000333,None,space,0.4025524000026053,16.23107500000333,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
4,0,4,0,,,,,,,16.64832040001056,None,19.646088699999382,None,space,0.2842462999979034,19.646088699999382,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
5,0,5,0,,,,,,,19.946488400004455,None,22.946051999999327,None,space,0.26876289999927394,22.946051999999327,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
6,0,6,0,,,,,,,23.2301218000066,None,26.228307199999108,None,space,0.2682178999966709,26.228307199999108,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
7,0,7,0,,,,,,,26.51239100001112,None,28.51076610000746,29.510750100002042,None,,28.51076610000746,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
8,0,8,0,,,,,,,30.510299400004442,None,32.343425600003684,33.342934300002526,None,,32.343425600003684,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
9,0,9,0,,,,,,,34.34274259999802,None,35.34302220000245,None,space,0.6519853999925544,35.34302220000245,None,1,001,2019_Aug_01_1324,MIT_Exp,3.1.2,59.79470087352087,
