test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Fixation.started,Fixation.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,15.365005100000417,None,return,0.618977400008589,15.365005100000417,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
0,0,0,0,,,,,,,,,,,16.00048189998779,None,17.001165099994978,None,space,0.6679568000108702,17.001165099994978,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
1,0,1,0,,,,,,,,,,,17.68907439999748,None,20.000389699998777,None,space,0.31933070000377484,20.000389699998777,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
2,0,2,0,,,,,,,,,,,20.334142599996994,None,22.333732200000668,None,space,0.28406119999999646,22.333732200000668,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
3,0,3,0,,,,,,,,,,,22.633963699991,None,25.632549099987955,None,space,0.2510445000079926,25.632549099987955,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
4,0,4,0,,,,,,,,,,,25.899699399989913,None,27.899027899999055,None,space,0.3512501999939559,27.899027899999055,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
5,0,5,0,,,,,,,,,,,28.26553989999229,None,30.264893200001097,None,space,0.3349505000078352,30.264893200001097,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
6,0,6,0,,,,,,,,,,,30.61493489998975,None,33.61351569999533,None,space,0.30175640000379644,33.61351569999533,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
7,0,7,0,,,,,,,,,,,33.93104229999881,None,36.92977849999443,None,space,0.30194799999298993,36.92977849999443,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
8,0,8,0,,,,,,,,,,,37.247151799994754,None,39.24454819998937,None,space,0.30158600000140723,39.24454819998937,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
9,0,9,0,,,,,,,,,,,39.5610161999939,None,42.561663699991186,None,space,0.3836757000099169,42.561663699991186,None,,,,,,,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
,,,,,,,,,,,,,,,,,,,,,,43.976872699990054,None,return,0.933580199998687,43.976872699990054,None,,,,,,,,,,,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
,,,,0,0,0,0,,,,,,,46.73501829999441,None,,,,,,,,,,,,,45.94275909999851,None,46.42731469999126,None,space,0.2862691000045743,46.42731469999126,None,47.78447119999328,None,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
,,,,1,0,1,0,,,,,,,50.51602009999624,None,,,,,,,,,,,,,49.76045439999143,None,50.259955899993656,None,space,0.23466159999952652,50.259955899993656,None,51.55684179998934,None,1,001,2019_Aug_13_0909,MIT_Exp,3.1.2,61.245200669950776,
,,,,,,,,,,,,,,54.298241399999824,None,,,,,,,,,,,,,53.542387900000904,None,54.026101999988896,54.14253379999718,space,0.2510119999933522,54.026101999988896,None,,,,,,,,,
