test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,End.started,End.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,20.757716199997958,None,return,1.5165057000012894,20.757716199997958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
0,0,0,0,,,,,,,,,,,22.289831799997046,None,24.30612619999738,None,24.789328799997747,None,space,0.3836239999982354,24.789328799997747,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
1,0,1,0,,,,,,,,,,,,,26.20620190000045,None,26.68888119999974,None,space,0.4175230999971973,26.68888119999974,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
2,0,2,0,,,,,,,,,,,,,28.13852389999738,None,28.621748699999443,None,space,0.28363309999986086,28.621748699999443,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
3,0,3,0,,,,,,,,,,,,,29.938104699998803,None,30.421302799997648,None,space,0.3670982000003278,30.421302799997648,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
4,0,4,0,,,,,,,,,,,,,31.82097249999788,None,32.30419260000053,None,space,0.35059069999988424,32.30419260000053,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
5,0,5,0,,,,,,,,,,,,,33.68719330000022,None,34.17043659999763,None,space,0.43346700000256533,34.17043659999763,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
6,0,6,0,,,,,,,,,,,,,35.636719599999196,None,36.11996100000033,None,space,0.41691609999907087,36.11996100000033,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
7,0,7,0,,,,,,,,,,,,,37.569654200000514,None,38.05275780000011,None,space,0.5669224999983271,38.05275780000011,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
8,0,8,0,,,,,,,,,,,,,39.65239540000039,None,40.13564819999738,None,space,0.5168644000004861,40.13564819999738,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_03_1450,MIT_Exp,3.1.2,60.00607261407205,
