test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,7.522997600011877,None,return,0.4056914999964647,7.522997600011877,None,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
0,0,0,0,,,,,,,,,,,7.944799700009753,None,9.960960900003556,None,10.444184700012556,None,space,0.3003208000009181,10.444184700012556,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
1,0,1,0,,,,,,,,,,,,,11.7771880000073,None,12.260432600000058,None,space,0.23371929999848362,12.260432600000058,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
2,0,2,0,,,,,,,,,,,,,13.526903900012258,None,14.010284300005878,None,space,0.233449199993629,14.010284300005878,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
3,0,3,0,,,,,,,,,,,,,15.276513900011196,None,15.759591900001396,None,space,0.2670590999914566,15.759591900001396,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
4,0,4,0,,,,,,,,,,,,,17.059754600006272,None,17.54249950000667,None,space,0.2502960999991046,17.54249950000667,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
5,0,5,0,,,,,,,,,,,,,18.82542900000408,None,19.30873810000776,None,space,0.21700459999556188,19.30873810000776,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
6,0,6,0,,,,,,,,,,,,,20.558436200008146,None,21.041700200003106,None,space,0.21708699999726377,21.041700200003106,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
7,0,7,0,,,,,,,,,,,,,22.29134700000577,None,22.774568700013333,None,space,0.06713710000622086,22.774568700013333,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
8,0,8,0,,,,,,,,,,,,,23.874323600000935,None,24.357567400002154,None,space,0.20041499999933876,24.357567400002154,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
9,0,9,0,,,,,,,,,,,,,25.590563800011296,None,26.0737924999994,None,space,0.18364099999598693,26.0737924999994,None,,,,,,,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
,,,,,,,,,,,,,,,,,,,,,,,,27.29016450000927,None,return,1.3001089000026695,27.29016450000927,None,,,,,,,,,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
,,,,0,0,0,0,,,,,,,7.944799700009753,8.944538100011414,29.62294760000077,None,,,,,,,,,,,,,30.10635600000387,None,space,0.20024929998908192,30.10635600000387,None,30.327017300005537,None,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
,,,,1,0,1,0,,,,,,,7.944799700009753,8.944538100011414,33.33872310000879,None,,,,,,,,,,,,,33.82194460000028,33.95523000000685,space,0.46700039999268483,33.82194460000028,None,34.30801490000158,None,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
,,,,2,0,2,0,,,,,,,7.944799700009753,8.944538100011414,37.321107499999925,None,,,,,,,,,,,,,37.80431450001197,37.921155500007444,space,0.25030749999859836,37.80431450001197,None,38.076162600002135,None,1,001,2019_Jul_15_1455,MIT_Exp,3.1.2,60.01140216590517,
,,,,,,,,,,,,,,7.944799700009753,8.944538100011414,41.086902000010014,None,,,,,,,,,,,,,41.57008550000319,41.703376500008744,space,0.21697359999234322,41.57008550000319,None,,,,,,,,,
