test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Fixation.started,Fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,8.395612700000129,None,return,0.6948769000000539,8.395612700000129,None,,,,,,,,,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
0,0,0,0,,,,,,,,,,,9.106686699999955,None,10.106630499999937,None,space,0.7500740999998925,10.106630499999937,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
1,0,1,0,,,,,,,,,,,,,10.873158000000103,11.872711499999923,None,,10.873158000000103,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
2,0,2,0,,,,,,,,,,,,,12.872627400000056,None,space,0.48452709999992294,12.872627400000056,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
3,0,3,0,,,,,,,,,,,,,13.37323420000007,14.372205500000064,None,,13.37323420000007,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
4,0,4,0,,,,,,,,,,,,,15.371968299999935,None,space,0.35053640000000996,15.371968299999935,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
5,0,5,0,,,,,,,,,,,,,15.738679999999931,16.738391699999966,None,,15.738679999999931,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
6,0,6,0,,,,,,,,,,,,,17.738139600000068,None,space,0.3002307000001565,17.738139600000068,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
7,0,7,0,,,,,,,,,,,,,18.0547732,19.054510400000026,None,,18.0547732,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
8,0,8,0,,,,,,,,,,,,,20.05436069999996,None,space,0.38346550000005664,20.05436069999996,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
9,0,9,0,,,,,,,,,,,,,20.45446590000006,21.45392190000007,None,,20.45446590000006,None,,,,,,,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
,,,,,,,,,,,,,,,,,,,,,,23.470018199999913,None,return,0.883566700000074,23.470018199999913,None,,,1,001,2019_Jul_18_1321,MIT_Exp,3.1.2,59.967425694401406,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.386432199999945,None,,,,,,,
