test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,8.727224099999148,None,space,0.5223960999974224,8.727224099999148,None,,,,,,,,,,,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
0,0,0,0,,,,,,,9.265843199998926,None,11.282021300001361,None,11.765228899999784,None,space,0.266991100001178,11.765228899999784,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
1,0,1,0,,,,,,,,,13.06491509999978,None,13.548137800000404,None,space,0.25022660000104224,13.548137800000404,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
2,0,2,0,,,,,,,,,14.831164100000024,None,15.314391399999295,None,space,0.2336139999970328,15.314391399999295,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
3,0,3,0,,,,,,,,,16.580743900001835,None,17.063953400000173,None,space,0.10034750000340864,17.063953400000173,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
4,0,4,0,,,,,,,,,18.19701410000198,None,18.680251800000406,None,space,0.16711800000121002,18.680251800000406,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
5,0,5,0,,,,,,,,,19.8799766000011,None,20.363143599999603,None,space,0.03362299999935203,20.363143599999603,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
6,0,6,0,,,,,,,,,21.429591200001596,None,21.91278880000027,None,space,0.1836490000023332,21.91278880000027,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
7,0,7,0,,,,,,,,,23.129167600000073,None,23.612531099999615,None,space,0.4501025000026857,23.612531099999615,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
8,0,8,0,,,,,,,,,25.09533670000019,None,25.5786494999993,None,space,0.033675200000288896,25.5786494999993,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
9,0,9,0,,,,,,,,,26.64505360000112,None,27.12850360000084,None,space,0.11732069999925443,27.12850360000084,None,1,001,2019_Jul_03_1422,untitled,3.1.2,60.12397563861582,
