1.5548 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
5.6443 	WARNING 	User requested fullscreen with size [1024  768], but screen is actually [1920, 1080]. Using actual size
6.9624 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029273698320>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000292736E9978>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.9625 	EXP 	window1: recordFrameIntervals = False
7.1269 	EXP 	window1: recordFrameIntervals = True
7.3098 	EXP 	window1: recordFrameIntervals = False
7.4896 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='any text\n\nincluding line breaks', units='height', win=Window(...), wrapWidth=1)
7.4955 	EXP 	Created feedback = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='feedback', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='%rt', units='height', win=Window(...), wrapWidth=1)
7.4972 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
7.4980 	EXP 	New trial (rep=0, index=0): None
7.5049 	EXP 	text: autoDraw = True
8.1430 	DATA 	Keypress: space
8.5095 	EXP 	text: autoDraw = False
10.1426 	DATA 	Keypress: space
10.5258 	DATA 	Keypress: space
10.8925 	DATA 	Keypress: space
11.2256 	DATA 	Keypress: space
11.4922 	DATA 	Keypress: space
11.5252 	EXP 	feedback: autoDraw = True
11.7255 	DATA 	Keypress: space
12.3588 	DATA 	Keypress: space
14.4999 	EXP 	New trial (rep=1, index=0): None
14.5079 	EXP 	feedback: autoDraw = False
14.5079 	EXP 	text: autoDraw = False
14.5079 	EXP 	feedback: autoDraw = False
14.5079 	EXP 	text: autoDraw = True
15.1747 	DATA 	Keypress: space
15.5076 	EXP 	text: autoDraw = False
18.4573 	DATA 	Keypress: space
18.5236 	EXP 	feedback: autoDraw = True
21.4908 	EXP 	New trial (rep=2, index=0): None
21.5065 	EXP 	feedback: autoDraw = False
21.5065 	EXP 	text: autoDraw = False
21.5065 	EXP 	feedback: autoDraw = False
21.5065 	EXP 	text: autoDraw = True
22.5061 	EXP 	text: autoDraw = False
24.6391 	DATA 	Keypress: space
25.5219 	EXP 	feedback: autoDraw = True
28.4899 	EXP 	New trial (rep=3, index=0): None
28.5058 	EXP 	feedback: autoDraw = False
28.5058 	EXP 	text: autoDraw = False
28.5058 	EXP 	feedback: autoDraw = False
28.5058 	EXP 	text: autoDraw = True
29.5043 	EXP 	text: autoDraw = False
32.5202 	EXP 	feedback: autoDraw = True
35.4874 	EXP 	New trial (rep=4, index=0): None
35.5029 	EXP 	feedback: autoDraw = False
35.5029 	EXP 	text: autoDraw = False
35.5029 	EXP 	feedback: autoDraw = False
35.5029 	EXP 	text: autoDraw = True
36.5026 	EXP 	text: autoDraw = False
39.5186 	EXP 	feedback: autoDraw = True
42.5012 	EXP 	feedback: autoDraw = False
42.5012 	EXP 	text: autoDraw = False
42.5012 	EXP 	feedback: autoDraw = False
42.5446 	EXP 	window1: mouseVisible = True
