test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.0305229000005056,None,4.032385000000431,None,None,4.032385000000431,None,,,,,,,,,,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
1,0,1,0,,,,,6.046098600000732,None,7.0483420999999,None,None,7.0483420999999,None,,,,,,,,,,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
2,0,2,0,,,,,9.062801099999888,None,10.064268500000253,None,None,10.064268500000253,None,,,,,,,,,,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
3,0,3,0,,,,,12.085933300000761,None,13.096814500000619,None,None,13.096814500000619,None,,,,,,,,,,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
4,0,4,0,,,,,15.118543100000352,None,16.129453300000023,None,None,16.129453300000023,None,,,,,,,,,,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
,,,,0,0,0,0,19.54531230000066,None,,,,,,18.156605600000148,None,20.54507190000004,22.561214600000312,None,20.54507190000004,22.561214600000312,24.65785390000019,None,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
,,,,1,0,1,0,25.17730010000014,None,,,,,,,,26.17705710000064,None,None,26.17705710000064,None,28.20221860000038,None,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
,,,,2,0,2,0,30.176213600000665,None,,,,,,,,31.175874600000498,None,None,31.175874600000498,None,33.21382380000068,None,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
,,,,3,0,3,0,35.17523239999991,None,,,,,,,,36.17474840000068,None,None,36.17474840000068,None,38.210562799999934,None,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
,,,,4,0,4,0,40.17369039999994,None,,,,,,,,41.173453000000336,None,None,41.173453000000336,None,43.201582800000324,None,,001,2019_Jul_03_1031,MIT,3.1.2,60.276766802554974,
