test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.994076799999675,None,4.994459200000165,None,space,0.2839564000005339,4.994459200000165,None,,,,,,,,,,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
1,0,1,0,,,,,5.294172400000207,None,6.293899999999667,None,space,0.2838131999997131,6.293899999999667,None,,,,,,,,,,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
2,0,2,0,,,,,6.59385680000014,None,7.593606999999793,None,space,0.3000090999994427,7.593606999999793,None,,,,,,,,,,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
3,0,3,0,,,,,7.910871199999747,None,8.91009380000014,None,space,0.26713049999943905,8.91009380000014,None,,,,,,,,,,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
4,0,4,0,,,,,9.193303600000036,None,10.192989600000146,None,space,0.3004520999993474,10.192989600000146,None,,,,,,,,,,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
,,,,0,0,0,0,11.892703499999698,None,,,,,,,10.509743399999934,None,12.89256370000021,14.908730000000105,None,12.89256370000021,14.908730000000105,16.96223689999988,None,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
,,,,1,0,1,0,17.524668699999893,None,,,,,,,,,18.524337599999853,None,None,18.524337599999853,None,20.564676099999815,None,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
,,,,2,0,2,0,22.52335630000016,None,,,,,,,,,23.52311860000009,None,None,23.52311860000009,None,25.57747550000022,None,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
,,,,3,0,3,0,27.52227740000035,None,,,,,,,,,28.52204139999958,None,None,28.52204139999958,None,30.57413269999961,None,,001,2019_Jul_03_1051,MIT,3.1.2,60.127409981792034,
,,,,,,,,32.52203509999981,None,,,,,,,,,33.5208118999999,None,None,33.5208118999999,None,,,,,,,,,
