test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.060537299999851,None,4.070742099999734,None,space,0.2336715000001277,4.070742099999734,None,,,,,,,,,,,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
1,0,1,0,,,,,4.320654000000104,None,5.320423799999844,None,space,0.3339289999994435,5.320423799999844,None,,,,,,,,,,,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
2,0,2,0,,,,,5.670337800000198,None,6.670094099999915,None,space,0.7001812999997128,6.670094099999915,None,,,,,,,,,,,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
3,0,3,0,,,,,7.386722799999916,None,8.386899999999514,None,space,0.8663388999993913,8.386899999999514,None,,,,,,,,,,,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
4,0,4,0,,,,,9.269476499999655,None,10.269326399999954,11.268961699999636,space,1.3499123000001418,10.269326399999954,None,,,,,,,,,,,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
,,,,0,0,0,0,13.018616999999722,None,,,,,,,11.636280099999567,None,14.018349400000261,None,space,0.6169786000000386,14.018349400000261,None,14.674514600000293,None,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
,,,,1,0,1,0,16.651029599999674,None,,,,,,,,,17.65079710000009,18.650541899999553,None,,17.65079710000009,None,19.053229099999953,None,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
,,,,2,0,2,0,21.033410500000173,None,,,,,,,,,22.03318709999985,None,space,0.2503801000002568,22.03318709999985,None,22.320079999999507,None,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
,,,,3,0,3,0,24.29919659999996,None,,,,,,,,,25.298950100000184,None,space,0.06718149999960588,25.298950100000184,None,25.40120300000035,None,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
,,,,4,0,4,0,27.381832199999735,None,,,,,,,,,28.381623199999922,29.381231499999558,space,1.016783299999588,28.381623199999922,None,29.43378339999981,None,,001,2019_Jul_03_1053,MIT,3.1.2,60.27266146584419,
