test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,image.started,image.stopped,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,2.702983299999687,None,3.7151171999994403,None,space,0.2840459999988525,3.7151171999994403,None,,,,,,,,,,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
1,0,1,0,,,,,4.015047999999297,None,5.0148927999998705,None,space,0.30085220000000845,5.0148927999998705,None,,,,,,,,,,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
2,0,2,0,,,,,5.332772399999158,None,6.3311794999990525,None,space,0.25029320000066946,6.3311794999990525,None,,,,,,,,,,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
3,0,3,0,,,,,6.598848999999973,None,7.597529900000154,None,space,0.2503452000000834,7.597529900000154,None,,,,,,,,,,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
4,0,4,0,,,,,7.866549599999416,None,8.863889500000369,None,space,0.28383319999920786,8.863889500000369,None,,,,,,,,,,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,0,0,0,0,10.546927800000049,None,,,,,,,9.16386749999947,None,11.54659410000022,11.54659410000022,None,11.54659410000022,None,13.568293299998913,None,,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,1,0,1,0,15.54664860000048,None,,,,,,,,,16.54541309999877,16.662009800000305,space,16.54541309999877,None,16.99687730000005,None,0.41687029999957304,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,2,0,2,0,18.978133299999172,None,,,,,,,,,19.977845199999138,20.127968799999508,space,19.977845199999138,None,20.312411599999905,None,0.3003681999998662,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,3,0,3,0,22.293958700000076,None,,,,,,,,,23.293761499999164,23.42705930000011,space,23.293761499999164,None,23.646690300000046,None,0.31692889999976614,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,4,0,4,0,25.626524600000266,None,,,,,,,,,26.626471699999456,26.642981499999223,space,26.626471699999456,None,26.843421399998988,None,0.18346350000138045,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,5,0,5,0,28.82594760000029,None,,,,,,,,,29.825487599999178,29.858903099999225,space,29.825487599999178,None,30.07635029999983,None,0.21703449999949953,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,6,0,6,0,32.058728099998916,None,,,,,,,,,33.0580372000004,None,space,33.0580372000004,None,33.34261820000029,None,0.25027370000134397,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,7,0,7,0,35.324215799999365,None,,,,,,,,,36.323914499998864,None,space,36.323914499998864,None,36.674704199998814,None,0.3170544000004156,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,8,0,8,0,38.656831299998885,None,,,,,,,,,39.656454799998755,39.789781100000255,space,39.656454799998755,None,39.995210600000064,None,0.3003002000004926,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
,,,,9,0,9,0,41.972594999999274,None,,,,,,,,,42.9724714999993,43.12240579999889,space,42.9724714999993,None,43.24395279999953,None,0.2335665999999037,,001,2019_Jul_03_1206,MIT,3.1.2,59.99397660449948,
