test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trial_block_1.thisRepN,trial_block_1.thisTrialN,trial_block_1.thisN,trial_block_1.thisIndex,Inst_1.started,Inst_1.stopped,key_resp_inst_1.keys,key_resp_inst_1.rt,key_resp_inst_1.started,key_resp_inst_1.stopped,Clear_screen.started,Clear_screen.stopped,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.rt,test_resp.started,test_resp.stopped,Inst_2.started,Inst_2.stopped,key_resp_inst_2.keys,key_resp_inst_2.rt,key_resp_inst_2.started,key_resp_inst_2.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.734502600000269,None,return,1.3101362999987032,11.734502600000269,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
0,0,0,0,,,,,,,,,,,13.060990500001935,None,15.077166499999294,None,15.560362399999576,None,space,0.35026730000026873,15.560362399999576,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
1,0,1,0,,,,,,,,,,,,,16.943388399999094,None,17.426585699999123,None,space,0.23361120000117808,17.426585699999123,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
2,0,2,0,,,,,,,,,,,,,18.69297170000209,None,19.176201900001615,None,space,0.08362750000014785,19.176201900001615,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
3,0,3,0,,,,,,,,,,,,,20.29258689999915,None,20.77579930000138,None,space,0.10033240000120713,20.77579930000138,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
4,0,4,0,,,,,,,,,,,,,21.90882060000149,None,22.39203990000169,None,space,0.11736440000095172,22.39203990000169,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
5,0,5,0,,,,,,,,,,,,,23.54182740000033,None,24.02502580000146,None,space,0.2002898999999161,24.02502580000146,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
6,0,6,0,,,,,,,,,,,,,25.25817520000055,None,25.741255799999635,None,space,0.2669720000012603,25.741255799999635,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
7,0,7,0,,,,,,,,,,,,,27.04091630000039,None,27.52437540000028,None,space,0.2668812000010803,27.52437540000028,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
8,0,8,0,,,,,,,,,,,,,28.823936500000855,None,29.307273300000816,None,space,0.1171600000016042,29.307273300000816,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
9,0,9,0,,,,,,,,,,,,,30.456813000000693,None,30.93997070000114,None,space,0.13371460000053048,30.93997070000114,None,,,,,,,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
,,,,,,,,,,,,,,,,,,,,,,,,32.10640970000168,None,return,0.8667810000006284,32.10640970000168,None,,,,,,,,,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
,,,,0,0,0,0,,,,,,,,,34.00595710000198,None,,,,,,,,,,,,,34.48925130000134,34.855725400000665,space,0.41682890000083717,34.48925130000134,None,34.94441630000074,None,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
,,,,1,0,1,0,,,,,,,,,37.93828880000001,None,,,,,,,,,,,,,38.42155520000233,38.68813349999982,None,,38.42155520000233,None,40.439388800001325,None,,001,2019_Jul_03_1605,MIT_Exp,3.1.2,59.97048252801926,
,,,,,,,,,,,,,,,,43.436975799999345,None,,,,,,,,,,,,,43.920225600002595,44.15349409999908,space,0.5335372000008647,43.920225600002595,None,,,,,,,,,
