test.thisRepN,test.thisTrialN,test.thisN,test.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Fixation.started,Fixation.stopped,Stimulus.started,Stimulus.stopped,test_resp.keys,test_resp.started,test_resp.stopped,test_mean.started,test_mean.stopped,Bodziec.started,Bodziec.stopped,key_resp.keys,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,3.068857499999467,None,4.068321799999467,None,None,4.068321799999467,None,,,,,,,,,,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
1,0,1,0,,,,,6.092769099999714,None,7.100853199999619,None,None,7.100853199999619,None,,,,,,,,,,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
2,0,2,0,,,,,9.110088399999768,None,10.11679869999989,None,None,10.11679869999989,None,,,,,,,,,,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
3,0,3,0,,,,,12.127212999999756,None,13.13273609999942,None,None,13.13273609999942,None,,,,,,,,,,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
4,0,4,0,,,,,15.145129300000008,None,16.14868109999952,None,None,16.14868109999952,None,,,,,,,,,,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
,,,,0,0,0,0,19.56483549999939,None,,,,,,18.18011630000001,None,20.56440179999936,22.58217969999987,None,20.56440179999936,22.58217969999987,24.97029879999991,None,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
,,,,1,0,1,0,25.196485599999505,None,,,,,,,,26.19626040000003,None,None,26.19626040000003,None,28.322262099999534,None,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
,,,,2,0,2,0,30.195335299999897,None,,,,,,,,31.195055799999864,None,None,31.195055799999864,None,33.318595699999605,None,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
,,,,3,0,3,0,35.19409689999975,None,,,,,,,,36.19385249999959,None,None,36.19385249999959,None,38.3069902999996,None,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
,,,,4,0,4,0,40.19295289999991,None,,,,,,,,41.19277129999955,None,None,41.19277129999955,None,43.311566200000016,None,,001,2019_Jul_03_1014,untitled,3.1.2,60.08225260401022,
